name,registration_number,branch,current_semester,address
AKELLA VENKATA SHANMUKHA SIVA,22A91A6101,Artificial Intelligence & Machine Learning,6,kathulagudem
ANUSURI BHARATHI,22A91A6102,Artificial Intelligence & Machine Learning,6,kakinada
BANDI SIVA PRASAD,22A91A6103,Artificial Intelligence & Machine Learning,6,rajahmundry
BITRA VENKATA SIVA NAGA MANIKANTA,22A91A6104,Artificial Intelligence & Machine Learning,6,vijayawada
BODDU VENKATA SIVA NAGA RAJU,22A91A6105,Artificial Intelligence & Machine Learning,6,guntur
CHALLA VENKATA SIVA NAGA RAJU,22A91A6106,Artificial Intelligence & Machine Learning,6,vizag
DANDU VENKATA SIVA NAGA RAJU,22A91A6107,Artificial Intelligence & Machine Learning,6,hyderabad
EADARA VENKATA SIVA NAGA RAJU,22A91A6108,Artificial Intelligence & Machine Learning,6,warangal
FASI VENKATA SIVA NAGA RAJU,22A91A6109,Artificial Intelligence & Machine Learning,6,tirupati
GADDAM VENKATA SIVA NAGA RAJU,22A91A6110,Artificial Intelligence & Machine Learning,6,nellore
HARSHA VENKATA SIVA NAGA RAJU,22A91A6111,Computer Science & Engineering,6,kadapa
INDLA VENKATA SIVA NAGA RAJU,22A91A6112,Computer Science & Engineering,6,anantapur
JAKKULA VENKATA SIVA NAGA RAJU,22A91A6113,Computer Science & Engineering,6,kurnool
KATTA VENKATA SIVA NAGA RAJU,22A91A6114,Computer Science & Engineering,6,ongole
LELLA VENKATA SIVA NAGA RAJU,22A91A6115,Computer Science & Engineering,6,eluru
MADDI VENKATA SIVA NAGA RAJU,22A91A6116,Computer Science & Engineering,6,bhimavaram
NALLA VENKATA SIVA NAGA RAJU,22A91A6117,Computer Science & Engineering,6,machilipatnam
ODDI VENKATA SIVA NAGA RAJU,22A91A6118,Computer Science & Engineering,6,gudivada
PADALA VENKATA SIVA NAGA RAJU,22A91A6119,Computer Science & Engineering,6,amalapuram
QURESHI VENKATA SIVA NAGA RAJU,22A91A6120,Computer Science & Engineering,6,tanuku
